"Alg (row), Data(col)", "Big_430", "Stahlberg_MCF7", "mESCquartz", "microArray as SC", "Bulk_3_mESC", "Big_930"
"Monkey Random", "0.333", "0.337", "0.331", "0.333", "0.330", "0.333"  
"Monkey Top Class", "0.185", "0.171", "0.242", "0.204", "0.167", "0.180" 
"Seurat", "0.518", "0.584", "0.444", "0.387", "0.571", "0.444" 
"cyclone_PCA", "0.410", "0.33", "0.840", "0.050", "0.223", "0.390" 
"cyclone_RandForest", "0.210", "0.480", "0.600", "0.050", "0.447", "0.220"
"cyclone_LR", "0.230", "0.460", "0.510", "0.160", "0.167", "0.220" 
"cyclone_LR_all", "0.130", "0.430", "0.570", "0.050", "0.333", "0.140"
